"PRODUCT","SUBPRODUCT","STATE"
"Debt collection","Credit card","MA"
"Bank account or service","Checking account","TN"
"Consumer loan","Vehicle loan","FL"
"Bank account or service","Savings account","PA"
"Debt collection","","GA"
"Debt collection","Credit card","FL"
"Debt collection","Medical","DE"
"Credit reporting","","TX"
"Mortgage","Other mortgage","CA"
"Credit reporting","","OH"
"Bank account or service","Checking account","VA"
"Bank account or service","Other bank product/service","FL"
"Debt collection","","NY"
"Consumer loan","Vehicle loan","IL"
"Debt collection","","WA"
"Debt collection","Medical","CA"
"Debt collection","","WI"
"Credit reporting","","FL"
"Consumer loan","Vehicle loan","TX"
"Debt collection","Medical","IA"
"Debt collection","Payday loan","IL"
"Bank account or service","Checking account","GA"
"Debt collection","","LA"
"Student loan","Non-federal student loan","CA"
"Mortgage","Conventional fixed mortgage","MA"
"Payday loan","","CO"
"Debt collection","Medical","KY"
"Debt collection","Other (phone, health club, etc.)","OR"
"Credit reporting","","GA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Consumer loan","Vehicle loan","MI"
"Debt collection","Medical","NM"
"Bank account or service","Checking account","FL"
"Credit reporting","","NY"
"Debt collection","Medical","VA"
"Mortgage","VA mortgage","IL"
"Debt collection","Credit card","CA"
"Credit reporting","","OK"
"Debt collection","Medical","IL"
"Credit reporting","","WA"
"Debt collection","Medical","FL"
"Debt collection","","NV"
"Credit reporting","","NC"
"Credit card","","AZ"
"Debt collection","Medical","WV"
"Debt collection","Medical","FL"
"Credit reporting","","CA"
"Credit reporting","","CA"
"Mortgage","FHA mortgage","NC"
"Debt collection","Other (phone, health club, etc.)","FL"
"Credit reporting","","AL"
"Credit reporting","","MN"
"Credit reporting","","FL"
"Debt collection","","NY"
"Credit reporting","","TX"
"Mortgage","VA mortgage","MD"
"Credit reporting","","TN"
"Consumer loan","Installment loan","TN"
"Debt collection","Medical","WA"
"Debt collection","","IA"
"Mortgage","Conventional adjustable mortgage (ARM)","VA"
"Debt collection","Other (phone, health club, etc.)","TN"
"Credit reporting","","NY"
"Debt collection","Medical","CA"
"Payday loan","","TX"
"Debt collection","Medical","TN"
"Credit reporting","","IA"
"Credit reporting","","NJ"
"Credit reporting","","TX"
"Credit card","","IL"
"Credit reporting","","IL"
"Credit reporting","","TX"
"Debt collection","Other (phone, health club, etc.)","SC"
"Bank account or service","Other bank product/service","MA"
"Bank account or service","Checking account","CA"
"Student loan","Non-federal student loan","TX"
"Credit reporting","","TX"
"Mortgage","FHA mortgage","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Credit reporting","","TX"
"Credit card","","MA"
"Debt collection","Other (phone, health club, etc.)","IN"
"Debt collection","Medical","CA"
"Credit reporting","","AL"
"Debt collection","Other (phone, health club, etc.)","ID"
"Credit card","","CO"
"Consumer loan","Vehicle loan","PA"
"Credit reporting","","CA"
"Debt collection","Medical","TX"
"Bank account or service","Checking account","TX"
"Debt collection","Other (phone, health club, etc.)","CA"
"Credit reporting","","GA"
"Mortgage","Conventional adjustable mortgage (ARM)","KS"
"Debt collection","Other (phone, health club, etc.)","OH"
"Debt collection","Payday loan","ID"
"Bank account or service","Other bank product/service","MA"
"Mortgage","Conventional fixed mortgage","PA"
"Debt collection","Medical","IL"
"Debt collection","","MA"
"Debt collection","","WA"
"Credit reporting","","CA"
"Money transfers","International money transfer","CA"
"Credit reporting","","FL"
"Mortgage","Conventional fixed mortgage","NJ"
"Credit reporting","","RI"
"Credit reporting","","GA"
"Credit reporting","","TX"
"Debt collection","Other (phone, health club, etc.)","VA"
"Bank account or service","Other bank product/service","OH"
"Bank account or service","Checking account","AZ"
"Debt collection","","FL"
"Debt collection","Medical","FL"
"Debt collection","","FL"
"Credit reporting","","GA"
"Credit card","","FL"
"Credit reporting","","FL"
"Debt collection","","WI"
"Bank account or service","(CD) Certificate of deposit","SC"
"Mortgage","Conventional adjustable mortgage (ARM)","MA"
"Credit reporting","","FL"
"Credit reporting","","MA"
"Credit reporting","","CA"
"Debt collection","Other (phone, health club, etc.)","MD"
"Debt collection","","FL"
"Debt collection","Credit card","FL"
"Debt collection","Medical","CA"
"Mortgage","Conventional fixed mortgage","TX"
"Debt collection","","VA"
"Money transfers","International money transfer","OH"
"Credit reporting","","MD"
"Debt collection","Other (phone, health club, etc.)","FL"
"Credit reporting","","NJ"
"Mortgage","Conventional fixed mortgage","OH"
"Debt collection","Medical","GA"
"Credit reporting","","TX"
"Mortgage","Conventional fixed mortgage","NY"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Other (phone, health club, etc.)","OK"
"Bank account or service","Other bank product/service","TX"
"Debt collection","Medical","CA"
"Credit reporting","","CA"
"Credit reporting","","SC"
"Debt collection","Other (phone, health club, etc.)","TN"
"Money transfers","Domestic (US) money transfer","PA"
"Debt collection","Other (phone, health club, etc.)","GA"
"Credit reporting","",""
"Debt collection","Other (phone, health club, etc.)","MO"
"Debt collection","Other (phone, health club, etc.)","OH"
"Bank account or service","Checking account","PA"
"Debt collection","Other (phone, health club, etc.)","CO"
"Mortgage","FHA mortgage","MD"
"Credit reporting","","MA"
"Credit reporting","","NY"
"Debt collection","Credit card","GA"
"Credit reporting","","TN"
"Debt collection","Other (phone, health club, etc.)","TX"
"Credit reporting","","GA"
"Credit card","","CA"
"Debt collection","Credit card","TX"
"Bank account or service","Other bank product/service","VA"
"Bank account or service","(CD) Certificate of deposit","CT"
"Credit reporting","","OH"
"Debt collection","Other (phone, health club, etc.)","CT"
"Debt collection","Other (phone, health club, etc.)","VA"
"Debt collection","","TN"
"Payday loan","","MS"
"Credit reporting","","TN"
"Bank account or service","Other bank product/service","IL"
"Credit reporting","","FL"
"Mortgage","FHA mortgage","CA"
"Debt collection","Other (phone, health club, etc.)","AZ"
"Credit reporting","",""
"Credit reporting","","NV"
"Mortgage","Conventional fixed mortgage","FL"
"Bank account or service","Checking account","VA"
"Credit reporting","","MS"
"Debt collection","Payday loan","TX"
"Mortgage","FHA mortgage","VA"
"Credit reporting","","TX"
"Credit reporting","",""
"Credit reporting","","TX"
"Mortgage","FHA mortgage","FL"
"Credit reporting","","GA"
"Credit reporting","",""
"Credit reporting","","NC"
"Debt collection","Payday loan","IL"
"Student loan","Non-federal student loan","OH"
"Bank account or service","Checking account","CA"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","FHA mortgage","GA"
"Mortgage","Conventional fixed mortgage","NY"
"Credit reporting","","WI"
"Mortgage","Conventional fixed mortgage","OH"
"Student loan","Non-federal student loan","MN"
"Mortgage","Other mortgage","NH"
"Credit reporting","","FL"
"Debt collection","Other (phone, health club, etc.)","IL"
"Credit reporting","","NJ"
"Credit reporting","","VA"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Credit reporting","","TN"
"Consumer loan","Vehicle loan","TX"
"Credit reporting","","GA"
"Consumer loan","Vehicle loan","CA"
